Время;Имя узла;IP адрес;CPU (%);RAM (%);Disk (%)
19:46:59;MacBook-Margo;127.0.0.1;5.4;76.5;47.2
19:47:02;MacBook-Margo;127.0.0.1;5.5;76.5;47.2
19:47:05;MacBook-Margo;127.0.0.1;6.8;76.6;47.2
19:47:08;MacBook-Margo;127.0.0.1;6.6;76.7;47.2
19:47:11;MacBook-Margo;127.0.0.1;5.9;76.6;47.2
19:47:14;MacBook-Margo;127.0.0.1;7.4;77.0;47.2
19:47:18;MacBook-Margo;127.0.0.1;5.8;76.6;47.2
19:47:21;MacBook-Margo;127.0.0.1;8.8;76.6;47.2
19:47:24;MacBook-Margo;127.0.0.1;8.6;76.6;47.2
19:47:27;MacBook-Margo;127.0.0.1;6.7;76.7;47.2
19:47:30;MacBook-Margo;127.0.0.1;5.8;76.7;47.2
19:47:33;MacBook-Margo;127.0.0.1;5.8;76.8;47.2
19:47:36;MacBook-Margo;127.0.0.1;6.4;76.7;47.2
19:47:39;MacBook-Margo;127.0.0.1;5.9;76.7;47.2
19:47:42;MacBook-Margo;127.0.0.1;5.0;76.7;47.2
19:47:45;MacBook-Margo;127.0.0.1;6.9;77.2;47.2
19:47:48;MacBook-Margo;127.0.0.1;5.3;76.7;47.2
19:47:51;MacBook-Margo;127.0.0.1;7.6;76.8;47.2
19:47:54;MacBook-Margo;127.0.0.1;5.5;76.7;47.2
19:47:57;MacBook-Margo;127.0.0.1;5.4;76.6;47.2
19:48:00;MacBook-Margo;127.0.0.1;6.7;76.6;47.2
19:48:03;MacBook-Margo;127.0.0.1;5.4;76.5;47.2
19:48:06;MacBook-Margo;127.0.0.1;9.2;76.5;47.2
19:48:09;MacBook-Margo;127.0.0.1;6.4;76.5;47.2
19:48:12;MacBook-Margo;127.0.0.1;7.5;76.6;47.2
19:48:15;MacBook-Margo;127.0.0.1;15.8;77.7;47.2
19:48:18;MacBook-Margo;127.0.0.1;7.4;77.2;47.2
19:48:21;MacBook-Margo;127.0.0.1;7.6;77.2;47.2
19:48:24;MacBook-Margo;127.0.0.1;5.8;77.2;47.2
19:48:27;MacBook-Margo;127.0.0.1;10.8;77.4;47.2
19:48:30;MacBook-Margo;127.0.0.1;6.8;77.2;47.2
19:48:33;MacBook-Margo;127.0.0.1;5.8;77.1;47.2
19:48:37;MacBook-Margo;127.0.0.1;8.8;77.0;47.2
19:48:40;MacBook-Margo;127.0.0.1;5.3;77.1;47.2
19:48:43;MacBook-Margo;127.0.0.1;5.9;77.1;47.2
19:48:46;MacBook-Margo;127.0.0.1;7.5;77.3;47.2
19:48:49;MacBook-Margo;127.0.0.1;5.5;77.1;47.2
19:48:52;MacBook-Margo;127.0.0.1;7.6;77.1;47.2
19:48:55;MacBook-Margo;127.0.0.1;5.8;77.1;47.2
19:48:58;MacBook-Margo;127.0.0.1;6.4;77.5;47.2
19:49:01;MacBook-Margo;127.0.0.1;6.2;77.1;47.2
19:49:04;MacBook-Margo;127.0.0.1;5.4;77.0;47.2
19:49:07;MacBook-Margo;127.0.0.1;7.9;77.0;47.2
19:49:10;MacBook-Margo;127.0.0.1;5.7;77.0;47.2
19:49:13;MacBook-Margo;127.0.0.1;5.4;77.0;47.2
19:49:16;MacBook-Margo;127.0.0.1;6.2;77.1;47.2
19:49:19;MacBook-Margo;127.0.0.1;5.3;77.1;47.2
19:49:22;MacBook-Margo;127.0.0.1;5.9;77.0;47.2
19:49:25;MacBook-Margo;127.0.0.1;6.1;77.1;47.2
19:49:28;MacBook-Margo;127.0.0.1;9.0;77.5;47.2
19:49:31;MacBook-Margo;127.0.0.1;7.9;77.3;47.2
19:49:34;MacBook-Margo;127.0.0.1;6.3;77.4;47.2
19:49:37;MacBook-Margo;127.0.0.1;10.6;77.5;47.2
19:49:40;MacBook-Margo;127.0.0.1;6.1;77.1;47.2
19:49:43;MacBook-Margo;127.0.0.1;9.7;77.3;47.2
19:49:46;MacBook-Margo;127.0.0.1;8.0;77.7;47.2
19:49:49;MacBook-Margo;127.0.0.1;11.0;77.7;47.2
19:49:52;MacBook-Margo;127.0.0.1;13.5;77.8;47.2
19:49:55;MacBook-Margo;127.0.0.1;15.0;78.3;47.2
19:49:58;MacBook-Margo;127.0.0.1;13.0;78.3;47.2
19:50:02;MacBook-Margo;127.0.0.1;9.7;77.9;47.2
19:50:05;MacBook-Margo;127.0.0.1;15.5;79.4;47.2
19:50:08;MacBook-Margo;127.0.0.1;8.1;78.7;47.2
19:50:11;MacBook-Margo;127.0.0.1;10.6;78.6;47.2
19:50:14;MacBook-Margo;127.0.0.1;8.2;78.8;47.2
19:50:17;MacBook-Margo;127.0.0.1;11.9;78.2;47.2
19:50:20;MacBook-Margo;127.0.0.1;20.4;78.9;47.2
19:50:23;MacBook-Margo;127.0.0.1;12.2;78.9;47.2
19:50:26;MacBook-Margo;127.0.0.1;17.7;79.2;47.2
19:50:29;MacBook-Margo;127.0.0.1;9.6;78.7;47.2
19:50:32;MacBook-Margo;127.0.0.1;11.2;78.7;47.2
19:50:35;MacBook-Margo;127.0.0.1;12.1;78.3;47.2
19:50:38;MacBook-Margo;127.0.0.1;8.4;78.2;47.2
19:50:41;MacBook-Margo;127.0.0.1;8.8;78.5;47.2
19:50:44;MacBook-Margo;127.0.0.1;5.1;78.0;47.2
19:50:47;MacBook-Margo;127.0.0.1;11.5;78.4;47.2
19:50:50;MacBook-Margo;127.0.0.1;7.0;78.0;47.2
19:50:53;MacBook-Margo;127.0.0.1;12.5;78.2;47.2
19:50:56;MacBook-Margo;127.0.0.1;13.9;78.4;47.2
19:50:59;MacBook-Margo;127.0.0.1;12.4;78.8;47.2
19:51:02;MacBook-Margo;127.0.0.1;11.8;79.3;47.2
19:51:05;MacBook-Margo;127.0.0.1;6.4;78.9;47.2
19:51:08;MacBook-Margo;127.0.0.1;5.3;78.8;47.2
19:51:11;MacBook-Margo;127.0.0.1;5.6;78.9;47.2
19:51:14;MacBook-Margo;127.0.0.1;7.0;79.4;47.2
19:51:17;MacBook-Margo;127.0.0.1;5.6;78.1;47.2
19:51:20;MacBook-Margo;127.0.0.1;11.5;78.4;47.2
19:51:24;MacBook-Margo;127.0.0.1;12.0;78.1;47.2
19:51:27;MacBook-Margo;127.0.0.1;9.4;78.6;47.2
19:51:30;MacBook-Margo;127.0.0.1;10.6;79.1;47.2
19:51:33;MacBook-Margo;127.0.0.1;6.5;78.1;47.2
19:51:36;MacBook-Margo;127.0.0.1;8.7;78.0;47.2
19:51:39;MacBook-Margo;127.0.0.1;28.7;79.9;47.2
19:51:42;MacBook-Margo;127.0.0.1;49.4;81.4;47.3
19:51:45;MacBook-Margo;127.0.0.1;11.4;81.6;47.3
19:51:48;MacBook-Margo;127.0.0.1;5.4;80.8;47.3
19:51:51;MacBook-Margo;127.0.0.1;17.5;80.0;47.3
19:51:54;MacBook-Margo;127.0.0.1;20.0;78.7;47.3
19:51:57;MacBook-Margo;127.0.0.1;7.3;79.0;47.3
19:52:00;MacBook-Margo;127.0.0.1;10.0;78.9;47.3
19:52:03;MacBook-Margo;127.0.0.1;7.0;77.5;47.3
19:52:06;MacBook-Margo;127.0.0.1;6.8;78.1;47.3
19:52:09;MacBook-Margo;127.0.0.1;3.7;77.5;47.3
19:52:12;MacBook-Margo;127.0.0.1;7.4;78.1;47.3
19:52:15;MacBook-Margo;127.0.0.1;8.8;78.1;47.3
19:52:18;MacBook-Margo;127.0.0.1;2.5;77.7;47.3
19:52:21;MacBook-Margo;127.0.0.1;13.1;78.7;47.3
19:52:24;MacBook-Margo;127.0.0.1;12.3;77.8;47.3
19:52:27;MacBook-Margo;127.0.0.1;6.8;77.9;47.3
19:52:30;MacBook-Margo;127.0.0.1;4.9;77.4;47.3
19:52:33;MacBook-Margo;127.0.0.1;6.8;77.5;47.3
19:52:36;MacBook-Margo;127.0.0.1;25.5;78.8;45.4
19:52:39;MacBook-Margo;127.0.0.1;3.8;78.3;45.4
19:52:42;MacBook-Margo;127.0.0.1;6.3;79.0;45.4
19:52:45;MacBook-Margo;127.0.0.1;11.6;79.8;45.4
19:52:48;MacBook-Margo;127.0.0.1;16.5;78.5;45.4
19:52:52;MacBook-Margo;127.0.0.1;9.6;79.1;45.4
19:52:55;MacBook-Margo;127.0.0.1;7.4;79.2;45.4
19:52:58;MacBook-Margo;127.0.0.1;7.0;78.5;45.4
